Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
Bach Sheep May Safely Graze (Transcription By Egon Petri),오윤아,"녹아내릴 듯, 편안하고도 따스한 연주곡","추운날, 연주음악, 눈오는날, 편안한, 저녁, 겨울, 국내음악, 드라이브","[16, 17, 17, 15, 15, 17, 14, 12, 10, 1]",13.4,4.673328578219169
Back 2 Back,세븐틴 (SEVENTEEN),댄스 TOP100,"국내, 내적댄스, 가요, 댄스","[15, 18, 14, 2]",12.25,6.098155458825234
Back Together (Feat. Nicki Minaj),Robin Thicke,그저 음악에 몸을 맡기고 싶은 오늘,"스트레스/짜증, 기분전환, 밤, POP, 드라이브, 댄스","[16, 16, 17, 18, 16, 17, 12, 14, 5, 1]",13.2,5.418486873657627
Back in My Arms,Carlie Hanson,음색에 빠져드는 알앤비/소울 음악 플레이리스트,"외로움, 워너뮤직, 그루브한, 레이블 PICK, 흐린날, 비오는날","[17, 17, 16, 16, 15, 13, 9, 6, 0, 1]",11.0,6.260990336999411
Back in the Game,Peder Elias,일상의 텐션으로 스위치 ON!,"드라이브, 기분전환, 오후, 설연휴특집, 오늘의선곡, 2020년대","[16, 16, 17, 15, 15, 16, 16, 18, 9, 14, 14, 13, 2, 5, 1]",12.466666666666667,5.339995838533543
Back to You,PREP,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"그루브, 드라이브, 알앤비, 기분전환, 카페","[16, 16, 17, 18, 16, 13, 13, 14, 5, 1]",12.9,5.262128846769148
Back to the Streets (Feat. Jhene Aiko),Saweetie,홈바디들을 위한 감성적인 해외 힙합&알앤비,"R&B/소울, 휴식, TODAY PICK, 밤","[16, 16, 14]",15.333333333333334,0.9428090415820634
Back to you,eldon,팝송 좀 듣는 친구의 Pick! 취향저격 보석 같은 숨은 명곡 #1,"숨은명곡, 보석, 명곡, 산책","[14, 14, 9, 1]",9.5,5.315072906367325
Backpack,Quinn XCII,도입부 3초만에 바로 반해버린 인생 팝송 ②,"기분전환, 센치한, 감성, 드라이브, 스트레스","[16, 16, 17, 16, 17, 14, 5, 1]",12.75,5.782516753110189
Backseat (Kiss Me),Jutes,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"여행, 팝, 알앤비, 드라이브, 기분전환","[16, 16, 17, 16, 18, 13, 13, 14, 5, 0, 1]",11.727272727272727,6.239039977008542
Backseat (with Brasstracks),goodboy noah,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"매장, 드라이브, 카페, Pop, 기분전환","[16, 16, 17, 18, 16, 14, 5, 1]",12.875,5.8829733128750465
Backyard Boy,Claire Rosinkranz,두근두근! 하이틴 영화 감성 팝 플레이리스트,"영화음악, 스트레스, 신나는, 명곡, 달콤한, 밝은, 탑백, 2020년대, 드라이브, 차트, 해외음악, 인기, 10대, 오후","[16, 17, 16, 18, 17, 16, 16, 14, 17, 16, 16, 12, 9, 14, 8, 2, 7, 1, 1, 0]",11.65,6.117801892837001
Bad,Christopher,살짝쿵 기분을 업시켜줄 드라이빙 뮤직,"휴가/여행, 갈라토크쇼, POP, 달리기, 걸크러쉬, 해외팝, 해외음악, 매혹적인, 해외, 스트릿우먼, 장르탑백, 운동, 워너뮤직, 스트릿우먼파이터, 오늘의선곡, 스트레스/짜증, dance, 명곡, 스트레스, 탑백, 신나는, 드라이브, 추억, 카페, 휴식, 인기, 카리스마, 트렌디","[16, 17, 15, 15, 15, 16, 16, 18, 16, 18, 13, 17, 16, 15, 18, 14, 17, 16, 16, 13, 13, 15, 12, 18, 9, 15, 14, 10, 13, 8, 15, 12, 12, 6, 5, 2, 0, 5, 0, 1, 3, 1, 1, 0]",11.522727272727273,5.906424223456863
Bad,Lennon Stella,가을의 고즈넉한 감성이 흐르는 POP,"POP, 오늘의선곡, 산책, 편안한, 2010년대, 가을","[15, 15, 14, 15, 14, 9, 2]",12.0,4.535573676110727
Bad Blood,Nao,힙한 카페 사장님이라면 무조건 좋아할 거야!,"힙한, 카페, 감각적인, 섹시한","[18, 16, 14, 12, 8, 2, 2]",10.285714285714286,5.993193418115152
Bad Blood,Trousdale,언제 들어도 기분 좋아지는 멜로디의 POP,"팝, 휴식, 행복, 기분좋은","[16, 16, 18, 17, 14]",16.2,1.32664991614216
Bad Boy,Red Velvet (레드벨벳),그루비한 리듬이 기분 좋게 다가오는 플레이리스트,"R&B/소울, 국내음악, 추억, 오늘의선곡, 그루브한, 오후, 2010년대","[16, 15, 15, 15, 15, 16, 15, 16, 14, 9, 2]",13.454545454545455,4.075729412992708
Bad Boy,Yung Bae & Wiz Khalifa & bbno$ & MAX,여름휴가 필수 청량 팝송,"2020년대, 행복, 드라이브, 맑은날, POP, 해외음악, 기쁨, 레이블 PICK","[16, 17, 17, 16, 17, 17, 10, 14, 2, 1]",12.7,5.967411499134277
Bad Boys Need Love Too,Bahamas,힙한 카페 사장님이라면 무조건 좋아할 거야!,"카페, 힙한_느낌, 분위기깡패, 편집샵","[16, 18, 15, 9, 14, 15, 14, 13, 13, 11, 8]",13.272727272727273,2.831347545890443
Bad Day,Justus Bennetts,꿉꿉한 날엔 상쾌한 팝 플리로 제습기능 ON,"시원한, 밝은, 기분전환, TODAY PICK, 산책, 오후","[16, 16, 14, 16, 11, 14, 5, 2]",11.75,5.0682837331783235
Bad Decisions (Inst.),Benny Blanco & 방탄소년단 & Snoop Dogg,마음속까지 시원해지는 청량 플리 🏂,"신나는, 맑은날, 헬스, 집, 설렘, 일/공부, 카페, 기분전환, 밝은, 걷기","[16, 16, 17, 18, 16, 18, 14, 19, 16, 7, 14, 13, 5, 1]",13.571428571428571,5.205962045225314
Bad For You (Feat. 90's Kids),Midnight Kids,일상의 텐션으로 스위치 ON!,"오늘의선곡, 설연휴특집, 출/퇴근길, 2020년대, 드라이브, POP","[17, 15, 15, 16, 15, 15, 18, 9, 14, 13, 6, 2, 1]",12.0,5.4349297638940595
Bad For You (Party Pupils Remix) (Feat. 90's Kids),Midnight Kids,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"드라이브, 기분전환, 그루브, groove, Pop","[16, 16, 17, 16, 14, 5, 1]",12.142857142857142,5.938459911664722
Bad Girl,비스트,2000년대 인기가요 띵곡 모음,"아이돌, 2000년대, 기분전환, kpop, 드라이브, 댄스, 2000년대에서2015년까지, 봄","[16, 16, 17, 18, 15, 14, 14, 2, 5, 1]",11.8,6.161168720299745
Bad Girl Good Girl,miss A,신나는 여름 휴가 출발~댄스 댄스!,"휴가/여행, 댄서블한, 오늘의선곡, 국내음악","[16, 15, 15, 15, 16, 15, 14, 9, 8, 0]",12.3,4.8999999999999995
Bad Girl Good Girl,미쓰에이,2000년대 인기가요 띵곡 모음,"00년대, 드라이브, 발라드, 댄스, 가요, 미니홈피, 겨울, 감성, 90년생, 케이팝, bgm, 2000년대에서2015년까지, 회상, 명곡, 2000년대","[17, 16, 11, 18, 14, 18, 17, 14, 13, 13, 9, 6, 6, 2, 3, 3, 1, 0]",10.055555555555555,6.186654294368216
Bad Girls,이효리,자신감 상승곡선 런웨이 TOP100,"런웨이, 탑백, TOP100, 인기, 차트","[17, 16, 16, 16, 14, 8, 1]",12.571428571428571,5.499536158548617
Bad Habits,Ed Sheeran,MSG워너비 탄생! 재조명된 노래들,"트렌디, 카페, 발라드, 장르탑백, 해외, 팝, 해외팝, 인기, msg워너비, 도입부","[16, 11, 18, 17, 16, 18, 16, 13, 15, 15, 4, 14, 10, 8]",13.642857142857142,3.9207714776038447
Bad Haircut,Dylan Rockoff,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"groove, 알앤비, 카페, 팝, 그루브","[18, 18, 16, 13, 13]",15.6,2.244994432064365
Bad High (Feat. Jade),프라이머리,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"갈라토크쇼, 스트릿우먼파이터, 걸크러쉬, 스웩, 댄스, 스우파","[18, 18, 18, 15, 13, 12, 14, 12, 5, 5, 3, 1, 1]",10.384615384615385,6.257776227511612
Bad Ideas,Tessa Violet,작업하기 좋은 핫플 카페에서 들었던 음악 TOP 100,"커피, 감성, 카페, 기분전환, 팝송","[16, 16, 16, 18, 18, 18, 14, 0, 12, 5]",13.3,5.797413216254298
Bad Intentions,Alexander Oscar,일상의 텐션으로 스위치 ON!,"오늘의선곡, POP, 설연휴특집, 출/퇴근길, 기분전환, 드라이브","[16, 16, 17, 15, 15, 16, 15, 15, 18, 9, 14, 14, 13, 6, 5, 1]",12.8125,4.733111423788795
Bad Liar,Selena Gomez,휴가철 드라이빙 하며 듣는 플레이리스트,"기분전환, 편안한, 그루브한, 출/퇴근길, 설렘, 해외음악, 휴가/여행, 2010년대","[16, 16, 16, 16, 16, 15, 15, 15, 15, 16, 15, 14, 13, 6, 2, 5, 0]",12.411764705882353,5.2698791539823615
Bad Life (acoustic),Sigrid,"선선해진 가을 날씨 즐기는, ISFJ의 감성팝 PLAYLIST ᕷ","가을, 팝, mbti, 산책, 센치한","[14, 14, 18]",15.333333333333334,1.8856180831641267
Bad News,KISS OF LIFE,언제 들어도 신이 나! 기분전환에 제격인 K-POP,"댄스, 청량, 신나는, 가을, 운동","[18, 14, 18, 13, 13, 1]",12.833333333333334,5.6984403324262525
Baddie,IVE (아이브),댄스 TOP100,"헬스, 자존감, 기분전환, 가을, 드라이브, 댄스, 인기, 차트, 아이돌, 국내","[16, 16, 17, 15, 14, 18, 16, 16, 14, 14, 14, 4, 5, 1]",12.857142857142858,5.166611805721463
Bag,Abhi The Nomad,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"매장, 그루브, 드라이브, 알앤비, 카페","[17, 18, 16, 16, 13, 13, 1]",13.428571428571429,5.368084065158839
Bagatelle No.3 : Dreaming Tears In A Crystal Cage,Ezio Bosso,불면증 한방에 날려버리는 수면 클래식 #꿀잠,"집, 소니뮤직, 밤, 스페셜추천, 가을, 편안한","[16, 15, 14, 16, 16, 19, 16, 0]",14.0,5.454356057317857
Baggy Jeans,NCT U,댄스 TOP100,"가요, 명곡, 아이돌, 장르탑백, TOP100, 기분전환, 탑백, 노동요, 청량, 드라이브","[16, 16, 17, 14, 17, 14, 16, 14, 13, 14, 9, 14, 10, 8, 0, 5, 1]",11.647058823529411,5.201144404281317
Balconies,Paper Route,청량한 감성 가득 록 음악,"휴가/여행, 추억, 몽환적인, 따뜻한, 드라이브, 해외음악, 겨울, 기분전환, 2010년대, 출/퇴근길","[16, 16, 16, 17, 15, 16, 16, 15, 15, 15, 17, 14, 14, 14, 6, 2, 5, 2, 0, 1]",11.6,6.019966777316965
Balenciaga,Cheat Codes,불금엔 클럽이지! 헬.스.클.럽!,"POP, 자전거, 일렉트로니카, 기분전환, 국내음악","[16, 16, 16, 15, 17, 16, 14, 5]",14.375,3.637908052713812
"Ballade No.3, Op.47",신현필 (Hyunpill Shin) & 고희안,"녹아내릴 듯, 편안하고도 따스한 연주곡","연주음악, 재즈, 휴식, 2010년대, 국내음악, 드라이브, 추운날, 저녁","[16, 17, 17, 16, 15, 14, 19, 12, 2, 1]",12.9,5.974110812497538
Ballerino,리쌍,추억이 새록새록 떠오르는 싸이월드 BGM,"2000년대, 도토리페스티벌, 토요태, 미니홈피, bgm, 추억의, 명곡, 탑백, 기분전환, 차트, 브금, 노래방","[16, 16, 15, 17, 16, 14, 16, 11, 10, 5, 9, 14, 6, 6, 8, 6, 2, 6, 3, 5, 2, 2, 2]",9.0,5.32426765733622
Bang Bang,Jessie J,팝알못도 한 번쯤은 들어봤을 추억의 인기 pop,"기분전환, 추억, 휴식, 명곡","[16, 16, 15, 16, 14, 9, 14, 5]",13.125,3.75624480032918
Bang Bang,RITA ORA & Imanbek,운동할때 듣는 기운 뿜뿜 플레이리스트,"운동, 오늘의선곡, 일렉트로니카, 2020년대, 댄서블한, 달리기, 휴가/여행, 맑은날","[15, 15, 17, 16, 13, 15, 13, 14, 16, 9, 14, 8, 2, 0, 0]",11.133333333333333,5.748816303282693
Bang! (AhhHaa Remix) (Feat. Hayley Kiyoko),AJR,일상의 텐션으로 스위치 ON!,"해외음악, 2020년대, 신나는, 맑은날, 기분전환, 오늘의선곡","[16, 16, 16, 15, 15, 17, 16, 18, 9, 14, 2, 5, 1]",12.307692307692308,5.716166216356707
Bank Account,Jakubi,남몰래 혼자 흥 타기 좋은 출퇴근 플레이리스트,"신나는, 가을, 출/퇴근길, POP, 해외음악, 30대","[16, 16, 18, 15, 15, 14, 6, 2, 1]",11.444444444444445,6.184408911144776
Barefoot,Summer Soul,편안하고 영롱한 멜로디들,"2010년대, 몽환적인, R&B/소울, 잔잔한, 외로움, 오늘의선곡","[15, 15, 15, 14, 14, 9, 9, 2, 2]",10.555555555555555,5.101440125888443
Basin Street Blues,Dave Brubeck,재즈가 흘러나오는 작업하기 좋은 카페 2,"독서, 카페, 커피, 작업, 힐링","[18, 17, 11, 12, 11, 0]",11.5,5.852349955359813
Bavota : Apartment Song #3,Bruno Bavota,스트레스와 우울감이 밀려올 때!,"피아노, 유니버설뮤직, 편안한, 출/퇴근길","[15, 15, 15, 16, 13, 6, 10, 0]",11.25,5.2855936279664935
Bawling,프라이머리 & 오혁,차가운 공기에 더해진 감성 플레이리스트,"몽환적인, 드라이브, R&B/소울, 새벽, 추운날, 가요","[17, 17, 14, 14, 14, 14, 2, 1]",11.625,5.977823600609171
Be Alright,Dean Lewis,부담없이 즐기는 데일리 팝송,"출/퇴근길, 드라이브, 기분전환, 오늘의선곡, 편안한, 휴식","[16, 16, 17, 15, 15, 16, 15, 15, 15, 9, 14, 6, 5, 1]",12.5,4.880720087387575
Be Be Your Love,Rachael Yamagata,[1990년] 싸이월드 부활 예고! 이 노래 ㄱ나니? 종합편,"오늘의선곡, Pop, POP, 발라드, TODAY PICK90년대, 싸이월드, 가요, 00년대, 감성","[15, 15, 16, 11, 14, 9, 2, 2, 1]",9.444444444444445,5.871042139387959
Be Here Soon,imugi 이무기,가는 여름이 아쉬운 낭만러들을 위한 플레이리스트,"밤, 새벽, 매혹적인, 오늘의선곡, 집, 휴식","[15, 15, 16, 16, 16, 14, 13, 9, 2]",12.88888888888889,4.382907316292449
Be Kind,Marshmello,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"팝, Pop, 기분전환, 그루브, 여행","[16, 16, 16, 18, 16, 14, 5, 0]",12.625,6.0608889612003285
Be Kind,Zak Abel,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"카페, 매장, 드라이브, 그루브, 알앤비","[17, 18, 16, 16, 13, 13, 1]",13.428571428571429,5.368084065158839
Be Kind (Surf Mesa Remix),Marshmello & Halsey & Surf Mesa,운동할때 듣는 기운 뿜뿜 플레이리스트,"2020년대, 기분전환, 맑은날, TODAY PICK, 댄서블한, 일렉트로니카, 오늘의선곡, 이럴땐 이런 음악","[16, 16, 16, 15, 15, 17, 14, 16, 9, 14, 8, 2, 5, 1]",11.714285714285714,5.4040800912507825
Be Like That,Kane Brown,“인생곡 발견” 도입부부터 느낌오는 ᴘᴏᴘ vol.2,"감성팝, 출근길, 비오는날, 도입부, Pop","[17, 16, 15, 18, 13, 15, 3]",13.857142857142858,4.672979209656036
Be Like That (Feat. Swae Lee & Khalid),Kane Brown & Swae Lee & Khalid,추운 날씨에 딱!! 당신의 마음을 달콤하게 녹여줄 플레이리스트,"편안한, 비오는날, 새벽, 밝은, 휴가/여행, 출/퇴근길, POP, 소니뮤직, 2010년대, 기분전환","[16, 16, 17, 16, 15, 15, 15, 15, 16, 14, 13, 14, 6, 2, 5, 0, 0]",11.470588235294118,5.951941325007512
Be My Baby,원더걸스,"겨울이라면 이 노래가 필수템, 아이돌 띵곡!","2010년대, 가요, 오늘의선곡, 연말, 눈오는날, 인기, 밝은, 출/퇴근길, 드라이브, 탑백, 아이돌, 차트","[17, 15, 15, 17, 15, 15, 14, 17, 16, 16, 16, 14, 9, 12, 14, 10, 6, 8, 2, 1]",12.45,4.758938957372746
Be My Love,Keith Jarrett,비오는 날 사랑하는 사람과 들을래요! 달콤한 재즈,"아침, 해외음악, 편안한, 비오는날, 맑은날, 걷기, 사랑","[16, 17, 16, 15, 12, 13, 15, 7, 14]",13.88888888888889,2.8458329944145997
Be Natural (Feat. SR14B 'TAEYONG (태용)'),Red Velvet (레드벨벳),나도 모르게 어느새 치명적이게 되는 노래들,"섹시한, 매혹적인, 그루브한, 오늘의선곡, 아이돌, 2010년대","[15, 15, 16, 15, 13, 14, 9, 12, 2, 2, 2, 1]",9.666666666666666,5.864204028586394
Be Ok (Feat. Will.I.Am),Chrisette Michele,그저 음악에 몸을 맡기고 싶은 오늘,"스트레스/짜증, 드라이브, 그루브한, 기분전환, 오늘의선곡, POP","[16, 16, 17, 15, 15, 16, 17, 15, 12, 9, 14, 5, 1]",12.923076923076923,4.779146020618175
Be Still (Don's Song),Scoot McNairy & Darragh O'kelly & Stephen Rennicks,잊고 있던 인생영화 소환 플레이리스트,"잔잔한, 지침/힘듦, 비오는날, 요가, 편안한, 해외음악, 걷기, 2010년대","[16, 17, 16, 15, 15, 13, 7, 14, 11, 12, 2, 2, 0]",10.76923076923077,5.7533113696354325
Be The One,Bree Runway,언제 들어도 기분 좋아지는 멜로디의 POP,"기분업, 팝, 기분좋은, 휴식","[16, 16, 18, 13, 14, 0]",12.833333333333334,5.955856128401879
Be There,CHEEZE (치즈),벚꽃 엔딩부터 시작하는 완벽한 봄노래 모음집,"설렘, 기분전환, 사랑, 드라이브, 봄노래","[16, 16, 17, 15, 12, 10, 14, 13, 5, 1]",11.9,4.948737212663449
Be With You,오리엔탈 쇼커스 (Oriental Showcus),효리네 민박 13회,"TV속음악, 방송","[16, 0, 5, 3]",6.0,6.041522986797286
Beautiful,Crush,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"발라드, 힐링, 기분전환, 드라이브, 겨울, 청춘, 차트, 2010년대, 사랑, 휴식, 추억, 탑백","[16, 16, 17, 15, 16, 11, 17, 16, 17, 12, 16, 17, 14, 2, 8, 2, 5, 1]",12.11111111111111,5.675374572943171
Beautiful,Sam Smith,POP 갬성폭발 분위기 끝판왕 내 최애 팝송 모음,"휴식, 카페, 기분전환, 카페음악","[16, 16, 16, 16, 18, 14, 5]",14.428571428571429,3.994894701174161
Beautiful,Wanna One (워너원),"겨울이라면 이 노래가 필수템, 아이돌 띵곡!","밝은, 드라이브, 설렘, 좋아요10만, 국내음악, 가요, 아이돌회상, 눈오는날","[16, 17, 17, 15, 14, 13, 14, 10, 13, 1, 0]",11.818181818181818,5.669987683459155
Beautiful,비스트,2000년대 인기가요 띵곡 모음,"kpop, 감성, 봄, 2000년대에서2015년까지, 00년대, 스트레스, 2000년대, 댄스","[16, 18, 15, 17, 2]",13.6,5.885575587824865
Beautiful (Feat. Gaho & Moti & 정진우),준 (JUNE),바람 타고 온 그루브한 플레이리스트,"2010년대, 가요, 드라이브, 기분전환, 가을, 산책, 출/퇴근길, 그루브한","[16, 16, 17, 14, 15, 15, 14, 14, 16, 15, 14, 6, 2, 5, 1]",12.0,5.304086474910956
Beautiful Beautiful,펀치 (Punch),벚꽃 엔딩부터 시작하는 완벽한 봄노래 모음집,"벚꽃엔딩, 설렘, 로맨스, 봄노래, 봄캐롤","[15, 10, 13, 2, 2, 3, 2]",6.714285714285714,5.3375833406484015
Beautiful Christmas,Red Velvet (레드벨벳),설레는 크리스마스에 빠질 수 없는 K-캐롤 베스트 에디션,"캐롤, 카페, 크리스마스, 겨울, 인기, TOP100, 연말","[18, 16, 17, 17, 12, 14]",15.666666666666666,2.0548046676563256
Beautiful Day,Navarra,시끄러운 건 싫지만 신나고 싶은 당신을 위한 데일리 POP (상시업뎃),"휴식, 도입부, 중독성, 산책, 신나는","[16, 18, 14, 15, 9, 1]",12.166666666666666,5.6984403324262525
Beautiful Day (SBS 일요일이 좋다-런닝맨 삽입곡),오리엔탈 쇼커스 (Oriental Showcus),기분 좋은 하루를 선사할 청춘 플레이리스트,"국내음악, 기분전환, 인디, 밝은","[16, 16, 16, 15, 12, 14, 5]",13.428571428571429,3.6977654587270816
Beautiful Life,JJ,산뜻한 기분 올려주는 기분-업 음악,"레이블 PICK, 기분전환, 출/퇴근길, 2020년대, 해외음악, POP","[16, 16, 16, 16, 15, 15, 17, 14, 6, 2, 5, 1]",11.583333333333334,5.880169120772709
Beautiful Life,V.O.S,추억이 새록새록 떠오르는 싸이월드 BGM,"브금, 추억, 10대, bgm","[15, 5, 2]",7.333333333333333,5.557777333511022
Beautiful Life,슬리피 (Sleepy),그루브타고 싶어지는 매력적인 음악,"드라이브, 그루브한, 맑은날, 국내음악","[16, 17, 17, 15, 16, 15, 1]",13.857142857142858,5.303060340934453
Beautiful Love,Eddie Higgins,올해를 멋지게 마무리 할 수 있는 플레이리스트,"맑은날, 거리, 재즈, 기분전환, 해외음악","[16, 16, 16, 17, 16, 19, 10, 14, 5]",14.333333333333334,4.0276819911981905
Beautiful Love,Eddie Higgins Trio,센치해지는 날 무드 있게 듣는 재즈 플레이리스트,"사무실, 기분전환, 독서, 힐링, 작업, 재즈, 집, 해외음악재택근무","[16, 16, 16, 16, 16, 17, 19, 14, 11, 11, 12, 11, 5, 0]",12.857142857142858,4.9548986274356075
Beautiful Mistakes,Maroon 5,"""이 노래 뭐야?"" 틀어 놓으면 옆에서 자꾸 물어봐 pt.15","매장음악, 도입부, 감성, 신나는, 겨울, 기분전환, 드라이브, 힐링","[16, 16, 16, 17, 18, 16, 17, 16, 17, 15, 14, 5, 1, 1]",13.214285714285714,5.820880780536954
Beauty (Inspired by Ryan McGinley),정준일,내 마음을 따뜻하게 녹여줄 담요 같은 플레이리스트,"부드러운, 추운날, 겨울, 가요, 2010년대, 출/퇴근길","[17, 15, 15, 14, 17, 6, 2]",12.285714285714286,5.443588252359329
Beauty And A Beat,Scott Bradlee & Postmodern Jukebox,봄이 기다려지는 재즈와 함께 따사로운 주말을~,"오늘의선곡, 재즈, 휴식, 산책, 편안한, 따뜻한, 해외음악","[16, 15, 15, 16, 16, 14, 15, 14, 19, 9]",14.9,2.3853720883753127
Beauty and the Beast (미녀와 야수),Lang Lang & Royal Philharmonic Orchestra & Robert Ziegler,"힐링과 평화를 드릴게요, 애니메이션 OST 🍀","집, 추억, 편안한, 방해금지모드, OST, 해외음악","[16, 15, 16, 16, 15, 14, 14, 15]",15.125,0.7806247497997998
Because,ASH ISLAND,둠칫한 감성 힙합 TOP100,"비트, 차트, 감성힙합, 탑백, 힙합, 인기, 기분전환, 산책","[16, 16, 16, 14, 17, 16, 16, 16, 16, 13, 14, 14, 10, 8, 5]",13.8,3.370459909270543
Because Of You (Original Mix),Kelly Clarkson,추억이 새록새록 떠오르는 싸이월드 BGM,"추억의, 브금, 20대, 추억","[15, 5, 2]",7.333333333333333,5.557777333511022
Because You Loved Me,Celine Dion,"세월이 흘러도 영원할 명곡, LP판 감성의 올드팝","비, 카페, 기분전환, 올드팝, 빈티지한","[16, 16, 18, 18, 13, 14, 8, 2, 5, 1]",11.1,6.220128616033595
Because of You,Kelly Clarkson,[1990년] 싸이월드 부활 예고! 이 노래 ㄱ나니? 종합편,"R&B/소울, POP, 추억, 발라드, 90년대","[15, 11, 14, 2]",10.5,5.123475382979799
Bed (빌보드 R＆B/힙합 5주간 1위!),J. Holiday,없던 사랑도 싹트게 할 두근두근 알앤비 플레이리스트,"겨울, 고백, 발렌타인데이, 설렘, 매혹적인","[17, 16, 13, 10, 13, 4, 2, 1]",9.5,5.937171043518958
Bedroom Ceiling,Sody,새벽 감성 터지는 Lofi 플레이리스트,"매장음악, 기분전환, 집콕, 휴가/여행, 새벽, 여름, 2010년대, 따뜻한, 비오는날","[16, 16, 16, 17, 16, 16, 16, 15, 16, 14, 14, 13, 12, 14, 2, 5, 0]",12.823529411764707,5.090190035949162
Been Meaning To Tell You,Starley,쿨한 느낌이 매력적인 트렌디 POP,"기분전환, 해외음악, 2010년대, 그루브한","[16, 16, 16, 16, 16, 15, 14, 2, 5]",12.88888888888889,5.1086950811433995
"Beethoven : 11 Bagatelles, Op. 119 - XI. Andante, ma non troppo (Live at Historische Stadthalle Wuppertal / 2019)",Grigory Sokolov,모든 공간을 독서실로 만든다!,"일/공부, 클래식, 봄, 잔잔한","[15, 15, 19, 16, 16]",16.2,1.4696938456699067
Beethoven : Concerto No.5 'Emperor' - 2. Adagio Un Poco Mosso,서울시립교향악단 & 정명훈 & 김선욱,쉽게 잠들지 못하는 밤을 위한 클래식🌙,"잔잔한, TODAY PICK, 해외음악, 50대, 40대, 30대","[16, 16, 15, 2]",12.25,5.931905258852336
"Beethoven : Piano Concerto No. 5 In E-Flat Major, Op. 73 'Emperor' : II. Adagio Un Poco Mosso",Glenn Gould,불면증 한방에 날려버리는 수면 클래식 #꿀잠,"연주음악, 레이블 PICK, 해외음악, 가을, 뉴에이지, 여름","[16, 16, 14, 16, 17, 12, 9, 0, 1]",11.222222222222221,6.19637488604386
"Beethoven : Piano Sonata No. 3 in C Major, Op. 2 No. 3 - I. Allegro con brio (Live at Mozart Hall of the Zaragoza Auditorium / 2019)",Grigory Sokolov,스트레스와 우울감이 밀려올 때!,"클래식, 레이블 PICK, 스트레스/짜증, 흐린날","[17, 17, 17, 12, 16, 1]",13.333333333333334,5.792715732327588
"Beethoven : Piano Sonata No. 8 in C Minor, Op. 13 - 'Pathetique' - II. Adagio cantabile",Maurizio Pollini,쉽게 잠들지 못하는 밤을 위한 클래식🌙,"해외음악, 오늘의선곡, 연주음악, 30대, 클래식, TODAY PICK","[16, 15, 15, 16, 12, 16, 9, 2]",12.625,4.635124054434789
"Beethoven : 교향곡 6번 F장조, Op.68 '전원' - 2. Szene am Bach (Andante molto mosso)",Wiener Philharmoniker & Andris Nelsons,오랫동안 간직하고 싶은 잔잔한 음악들,"50대, 휴식, 흐린날, 2010년대, 일/공부, 오늘의선곡, 40대, 클래식","[15, 15, 17, 16, 19, 16, 16, 9, 2]",13.88888888888889,4.909049340972116
Beethoven : 피아노 소나타 8번 작품번호 13 '비창' - II. Adagio cantabile,Kun Woo Paik,오랫동안 간직하고 싶은 잔잔한 음악들,"연주음악, 일/공부, 출/퇴근길, 오늘의선곡, 뉴에이지, 밤, 집중, 유니버설뮤직, 아침, 새벽, 맑은날, 편안한","[16, 15, 15, 17, 16, 15, 15, 15, 16, 16, 14, 19, 16, 15, 12, 9, 14, 9, 13, 6, 0, 1]",12.909090909090908,4.851514205136848
"Beethoven Piano Sonata No.27 In E Minor, Op. 90 II. Nicht Zu Geschwind Und Sehr Singbar Vorgetragen",최희연,모든 공간을 독서실로 만든다!,"아침, 봄, 집중, 스페셜추천","[16, 15, 19, 15, 16, 14]",15.833333333333334,1.5723301886761005
Before I Let You Go,Blackstreet,향수를 불러일으키는 추억의 플레이리스트,"R&B/소울, 비오는날, 편안한, 집, 90년대, 추억, 로맨틱한, 그루브한","[17, 15, 16, 15, 16, 15, 14, 13, 2, 1]",12.4,5.553377350765928
Before Sunrise,백승환,듣는 순간 기분 좋아지는 플레이리스트,"맑은날, 2010년대, 오후, 부드러운, 따뜻한, 산책","[17, 14, 14, 16, 2]",12.6,5.4258639865002145
Begin,방탄소년단,모든 멤버가 월클! 방탄소년단 솔로곡 모음,"대표곡, 명곡, 알앤비, 아이돌","[14, 13, 13, 14, 9, 2, 4, 1]",8.75,5.238081709939241
Behind the Clouds,Yaeow,"선선해진 가을 날씨 즐기는, ISFJ의 감성팝 PLAYLIST ᕷ","잔잔한, 선선한, 힐링, 센치한, ISFJ","[15, 17, 7]",13.0,4.320493798938574
Beige coat,그리즐리 (Grizzly),봄을 부르는 인디 TOP100,"봄, 인디, 탑백, TOP100, 인기, 차트","[15, 17, 16, 16, 12, 16, 14, 8]",14.25,2.7726341266023544
