Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
센 척 (Lonely) (Feat. 에디킴),칸토,뜨거운 여름을 시원하게 만들어 줄 플레이리스트,"가요, 국내음악, 드라이브, 해변, 오늘의선곡, 2010년대","[16, 17, 15, 15, 15, 14, 9, 8, 2, 1]",11.2,5.582114294781145
션 (Sean),슈퍼키드 (SuperKidd),찌는 더위에도 미소 짓게하는 플레이리스트,"밝은, 오늘의선곡, 신나는, 출/퇴근길, 힘찬, 기분전환","[16, 16, 15, 15, 18, 15, 15, 9, 14, 6, 2, 5, 1]",11.307692307692308,5.662081913716291
소격동,아이유,싱그럽고 청량한 여름 향기가 나는 아이유의 노래,"아이유, 여자보컬리스트, 여름밤, 기분전환, 여자솔로","[16, 16, 16, 16, 14, 14, 7, 5, 6, 4, 5, 0, 1]",9.23076923076923,5.950486032558067
소금,Cherry Coke,보라색이 떠오르는 몽환적 그루비 뮤직,"R&B/소울, 새벽, 그루브한, 흐린날","[17, 16, 14, 15, 14]",15.2,1.1661903789690602
소나기 (Feat. 10cm),용준형,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"가을, 사랑, 새벽에, 잔잔한, 2030, 회상, 휴식, 일상, 비오는날","[17, 16, 14, 15, 13, 14, 12, 13, 16, 16, 0]",13.272727272727273,4.453617714151233
소나무,Wanna One (워너원),매년 가을이면 떠오르는 아련한 감성의 Music ♪,"감성, 드라이브, OST, 추억, 기분전환","[16, 16, 17, 15, 16, 14, 5, 1]",12.5,5.634713834792322
소녀,오혁,쓸쓸한 가을 감성 리메이크 플레이리스트,"힐링, 휴식, 가을, 사랑, TOP100, 가요, 감성, 드라이브, 산책, 거리, 리메이크, 기분전환, 따뜻한, 추억, 좋아요10만, 차트","[16, 16, 17, 15, 16, 16, 14, 14, 14, 16, 14, 12, 17, 11, 10, 14, 5, 1]",13.222222222222221,4.130584510098023
소녀시대,이승철,지금 들어도 너무 신나는 90년대 레전드 댄스곡,"회상, 90년대, 가요, 기분전환, 추억","[16, 16, 15, 14, 13, 14, 2, 5, 0]",10.555555555555555,6.002057260475335
소년,초록불꽃소년단,한여름의 청량한 감성을 지닌 모던락,"드라이브, 락/메탈, 휴식, 휴가/여행, 여름","[17, 16, 16, 16, 15, 13, 12, 0, 1]",11.777777777777779,6.214280646270917
소년소녀 (Prod. by 박문치),수잔,흐린 하늘 아래 은근한 그루브,"밤, 2010년대, 오늘의선곡, 그루브한, 국내음악","[16, 15, 15, 15, 16, 16, 15, 9, 2]",13.222222222222221,4.46661138716484
